juicy	wine	neg	not_certain	conceptnet
juicy	honey	neg/pos	not_certain	wikipedia_sgns_model
juicy	saskatoon	neg/pos	not_certain	wn_hypernym
juicy	yam	neg/pos	not_certain	wn_hypernym
juicy	coffee	neg/pos	not_certain	wn_hypernym
juicy	cultivar	neg/pos	not_certain	wikipedia_sgns_model
juicy	colocasia	neg/pos	not_certain	wikipedia_sgns_model
juicy	pudding	neg/pos	not_certain	wikipedia_sgns_model
juicy	hip	neg/pos	not_certain	wn_hypernym
juicy	leucaena	neg/pos	not_certain	wikipedia_sgns_model
juicy	green	neg/pos	not_certain	wn_hypernym
juicy	freestone	neg/pos	not_certain	wn_hypernym
juicy	pulse	neg/pos	not_certain	wn_hypernym
juicy	cocoanut	neg/pos	not_certain	wn_hypernym
juicy	oilseed	neg/pos	not_certain	wn_hypernym
juicy	puree	neg/pos	not_certain	wikipedia_sgns_model
juicy	citrus	neg/pos	not_certain	wn_hypernym
juicy	bacca	neg/pos	not_certain	wn_hypernym
juicy	yogurt	neg/pos	not_certain	wikipedia_sgns_model
juicy	tater	neg/pos	not_certain	wn_hypernym
juicy	conker	neg/pos	not_certain	wn_hypernym
juicy	marrow	neg/pos	not_certain	wn_hypernym
juicy	pip	neg/pos	not_certain	wn_hypernym
juicy	cucurbit	neg/pos	not_certain	wikipedia_sgns_model
juicy	sapodilla	neg/pos	not_certain	wn_hypernym
juicy	pyxis	neg/pos	not_certain	wn_hypernym
juicy	gumbo	neg/pos	not_certain	wn_hypernym
juicy	sauce	neg/pos	not_certain	wikipedia_sgns_model
juicy	buckeye	neg/pos	not_certain	wn_hypernym
juicy	spud	neg/pos	not_certain	wn_hypernym
juicy	hackberry	neg/pos	not_certain	wn_hypernym
juicy	actinidia	neg/pos	not_certain	wikipedia_sgns_model
