property	lemma
cold	tea
cold	soup
cold	heating
cold	fire
cold	happiness
cold	love
cold	fireplace
cold	toaster
cold	oven
cold	lava
cold	stove
cold	summertime
cold	lightning
cold	flame
cold	bath
cold	coffee
cold	steam
cold	jungle
cold	pie
cold	kettle
cold	candle
cold	mug
cold	water
cold	snow
cold	atmosphere
cold	hatred
cold	vinyl
cold	toe
cold	people
cold	space
cold	lemonade
cold	icicle
cold	moon
cold	tile
cold	ice
cold	fridge
cold	beer
cold	basement
cold	winter
cold	river
cold	nose
cold	surface
cold	can
cold	freezer
cold	cream
cold	smoke
cold	sundae
cold	snowfall
cold	boot
cold	freshener
cold	skin
cold	topcoat
cold	slime
cold	finger
cold	cake
cold	dust
cold	snowfield
cold	forepaw
cold	shoe
cold	iceberg
cold	eggshell
cold	spray
cold	rock
cold	snowdrift
cold	dew
cold	tummy
cold	juice
cold	mud
cold	chocolate
cold	bottle
cold	quesadilla
cold	udder
cold	berry
cold	balloon
cold	candy
cold	foam
cold	cirrocumulus
cold	tortilla
cold	permafrost
cold	sky
cold	dogwood
cold	iliamna
cold	spiciness
cold	puddle
cold	pillow
cold	lip
cold	cloud
cold	milk
cold	shelf
cold	rain
cold	snowbank
cold	forefoot
cold	casserole
cold	mentzelia
cold	glass
cold	boulder
cold	sunlight
cold	bubble
cold	pavement
cold	drink
cold	hair
cold	pomade
cold	doll
cold	toilet
cold	atole
cold	cheesecloth
cold	crack
cold	soda
cold	sawdust
cold	foot
cold	curd
cold	grate
cold	perithecia
cold	popsicle
cold	seabed
cold	bentwood
cold	bathtub
cold	growler
cold	teliospore
cold	sniffle
cold	vapor
