level	question	relation	perceptual	perceptual_scale	complex	complex_scale	parts	activities
1	``[CY]'' is one of the first things which come to mind when I hear ``[X]' because (a/an) [Y] is a typical example of things which are [X]'. 	typical_of_property	1	1	1	1	0	0
1	``[CY]'' is one of the first things which come to mind when I hear ``[X]' because (a/an) [Y] is a typical example of things which [L] (a/an) [X]'. 	typical_of_property	0	0	0	0	1	0
1	``[CY]'' is one of the first things which come to mind when I hear ``[X]' because (a/an) [Y] is a typical example of things which [X]/are used for [Xing]'. 	typical_of_property	0	0	0	0	0	1
1	I know that being [X] is necessary for many things (a/an) [Y] does or is used for. 	affording_activity	1	1	1	1	0	0
1	I know that [Ling] (a/an) [X] is necessary for many things (a/an) [Y] does or is used for. 	affording_activity	0	0	0	0	1	0
1	``[CX]'' is one for the first things which come to mind when I hear ``[Y]' because [X] is one of the typical [category] of (a/an) [Y]'.	typical_of_concept	1	1	1	1	1	0
1	``[CX]'' is one for the first things which come to mind when I hear ``[Y]' because [Xing] is one of the typical [category] of (a/an) [Y]'.	typical_of_concept	0	0	0	0	0	1
1	I know that all or most [Y](s) [X] regularly or are used for [Xing] regularly. 	afforded_usual	0	0	0	0	0	1
1	I know that (a/an) [Y] is [X] as most or all other things similar to (a/an) [Y] are [X]. 	implied_category	1	1	1	1	0	0
1	I know that (a/an) [Y] [Lsg] [X] as most or all other things similar to (a/an) [Y] [L] (a/an) [X]. 	implied_category	0	0	0	0	1	0
1	I know that (a/an) [Y] can [X]/be used for [Xing] as most or all other things similar to (a/an) [Y] [X]. 	implied_category	0	0	0	0	0	1
1	All or most  [Y](s) can [X]/be used for [Xing]. This is not what they normally do or are used for. 	afforded_unusual	0	0	0	0	0	1
2	You can find (a/an) [Y] which is [X]. [CX] is one of a few possible [category] (a/an) [Y] can [link]. There is only a limited range of possible [category].	variability_limited	1	0	1	0	0	0
2	You can find (a/an) [Y] which is [X]. (A/an) [Y] is either [X] or not [X]. It cannot be a bit more or less [X].	variability_limited	0	1	0	1	0	0
2	You can find (a/an) [Y] which [Lsg] [X]. [CLing] [X] is one of a few possible [category] (a/an) [Y] can [link]. There is only a limited range of possible [category].	variability_limited	0	0	0	0	1	0
2	You can find (a/an) [Y] which can [X]/be used for [Xing]. This distinguishes a certain type of [Y] from others. 	variability_limited	0	0	0	0	0	1
2	You can find (a/an) [Y] which is [X]. [CX] is one of many possible [category] (a/an) [Y] can [link]. The range of [category] is almost unlimited. 	variability_open	1	0	1	0	0	0
2	You can find (a/an) [Y] which is [X]. (A/an) [Y] is either [X], a bit more or less [X] or the opposite of [X].	variability_open	0	1	0	1	0	0
2	You can find (a/an) [Y] which [Lsg] [X]. [Cling] [X] is one of a many possible [category] (a/an) [Y] can [link]. The range of [category] is almost unlimited. 	variability_open	0	0	0	0	1	0
3	I think (a/an) [Y] can be [X], but this is rare or uncommon.	rare	1	1	1	1	0	0
3	I think (a/an) [Y] can [Lsg] [X], but this is rare or uncommon.	rare	0	0	0	0	1	0
3	I think there is a [Y]  which can [X]/be used for [Xing], but this is rare or uncommon.	rare	0	0	0	0	0	1
3	Usually, (a/an) [Y] is not [X], but there could be a highly unusual situation in which (a/an) [Y] is [X].	unusual	1	1	1	1	0	0
3	Usually, (a/an) [Y] [Lneg] [X], but there could be a highly unusual situation in which (a/an) [Y] [L] [X].	unusual	0	0	0	0	1	0
3	Usually, (a/an) [Y] cannot [X]/be used for [Xing], but there could be a highly unusual situation in which (a/an) [Y] can [X].	unusual	0	0	0	0	0	1
3	I think it is impossible for (a/an) [Y] to be [X].	impossible	1	1	1	1	0	0
3	I think it is impossible for (a/an) [Y] to [Linf] [X].	impossible	0	0	0	0	1	0
3	I think it is impossible for (a/an) [Y] to [X]/be used for [Xing].	impossible	0	0	0	0	0	1
3	I could say (a/an) [Y] is [X], but I would most certainly not mean it literally.	creative	1	1	1	1	0	0
3	I could say (a/an) [Y] [Lsg] [X], but I would most certainly not mean it literally.	creative	0	0	0	0	1	0
3	I could say (a/an) [Y] [Xs]/is used for [Xing], but I would most certainly not mean it literally.	creative	0	0	0	0	0	1
